 ,Area,Mean,Min,Max,X,Y
1,0.000,177,177,177,0.493,0.740
2,0.000,170,170,170,0.925,0.733
3,0.000,200,200,200,1.116,0.788
4,0.000,227,227,227,1.363,1.007
5,0.000,188,188,188,1.610,1.089
6,0.000,188,188,188,1.719,1.034
7,0.000,121,121,121,1.911,1.116
8,0.000,192,192,192,1.993,1.390
9,0.000,185,185,185,1.966,1.500
10,0.000,192,192,192,1.637,1.774
11,0.000,208,208,208,1.500,2.021
12,0.000,170,170,170,0.897,2.267
13,0.000,155,155,155,0.596,2.322
14,0.000,170,170,170,0.514,2.322
15,0.000,219,219,219,0.486,2.103
16,0.000,239,239,239,0.185,1.856
17,0.000,208,208,208,0.432,1.582
18,0.000,200,200,200,0.404,1.116
19,0.000,181,181,181,1.500,0.103
20,0.000,100,100,100,3.582,0.623
21,0.000,158,158,158,4.048,0.130
22,0.000,188,188,188,4.021,0.432
23,0.000,170,170,170,4.349,0.486
24,0.000,185,185,185,3.966,1.418
25,0.000,200,200,200,4.075,1.938
26,0.000,196,196,196,4.212,2.322
27,0.000,177,177,177,4.185,2.623
28,0.000,188,188,188,4.404,2.815
29,0.000,200,200,200,5.226,2.459
30,0.000,231,231,231,5.555,2.185
31,0.000,204,204,204,5.829,1.856
32,0.000,208,208,208,6.185,1.692
33,0.000,204,204,204,6.623,1.390
34,0.000,136,136,136,6.322,0.349
35,0.000,173,173,173,5.719,0.541
36,0.000,204,204,204,5.500,0.130
37,0.000,188,188,188,5.829,-0.007
38,0.000,93,93,93,7.336,0.925
39,0.000,192,192,192,7.144,0.541
40,0.000,173,173,173,7.610,0.815
41,0.000,188,188,188,7.856,0.733
42,0.000,151,151,151,8.103,0.788
43,0.000,158,158,158,8.486,0.979
44,0.000,196,196,196,8.651,1.007
45,0.000,192,192,192,8.925,0.267
46,0.000,192,192,192,9.363,1.034
47,0.000,208,208,208,9.692,1.062
48,0.000,227,227,227,10.377,1.062
49,0.000,140,140,140,11.336,1.089
50,0.000,173,173,173,11.500,1.774
51,0.000,192,192,192,11.226,1.445
52,0.000,177,177,177,11.336,1.527
53,0.000,188,188,188,10.788,2.377
54,0.000,247,247,247,10.870,1.966
55,0.000,208,208,208,10.377,2.267
56,0.000,231,231,231,10.048,2.130
57,0.000,192,192,192,9.308,2.322
58,0.000,204,204,204,9.226,3.089
59,0.000,235,235,235,9.144,3.226
60,0.000,223,223,223,9.336,3.445
61,0.000,223,223,223,9.637,3.473
62,0.000,155,155,155,9.747,3.308
63,0.000,223,223,223,9.801,3.226
64,0.000,158,158,158,9.774,3.062
65,0.000,200,200,200,9.582,2.979
66,0.000,219,219,219,9.473,2.870
67,0.000,200,200,200,9.363,2.733
68,0.000,188,188,188,9.199,2.623
69,0.000,204,204,204,8.815,2.541
70,0.000,215,215,215,9.253,2.295
71,0.000,215,215,215,8.651,2.678
72,0.000,235,235,235,8.295,2.952
73,0.000,185,185,185,8.048,3.281
74,0.000,231,231,231,7.582,3.363
75,0.000,219,219,219,7.034,3.473
76,0.000,212,212,212,6.432,3.363
77,0.000,212,212,212,6.240,3.199
78,0.000,173,173,173,5.884,3.555
79,0.000,204,204,204,7.199,4.349
80,0.000,212,212,212,7.747,4.788
81,0.000,208,208,208,7.664,5.281
82,0.000,212,212,212,7.390,5.856
83,0.000,177,177,177,7.308,6.349
84,0.000,204,204,204,7.281,6.048
85,0.000,200,200,200,6.897,6.130
86,0.000,200,200,200,6.130,6.596
87,0.000,196,196,196,5.801,6.267
88,0.000,162,162,162,5.199,4.651
89,0.000,204,204,204,4.486,4.185
90,0.000,200,200,200,4.212,3.938
91,0.000,219,219,219,3.801,3.774
92,0.000,188,188,188,3.473,3.500
93,0.000,188,188,188,3.253,3.390
94,0.000,212,212,212,2.815,3.171
95,0.000,188,188,188,1.253,3.116
96,0.000,204,204,204,1.610,3.253
97,0.000,200,200,200,1.856,3.473
98,0.000,185,185,185,2.048,3.774
99,0.000,155,155,155,1.884,3.966
100,0.000,181,181,181,1.253,4.486
101,0.000,219,219,219,1.336,3.719
102,0.000,208,208,208,1.007,3.610
103,0.000,181,181,181,0.486,4.568
104,0.000,204,204,204,0.048,3.774
105,0.000,162,162,162,0.486,6.815
106,0.000,185,185,185,0.212,7.938
107,0.000,200,200,200,1.116,7.308
108,0.000,200,200,200,1.445,6.979
109,0.000,223,223,223,1.664,6.596
110,0.000,181,181,181,1.801,6.459
111,0.000,231,231,231,2.185,6.185
112,0.000,158,158,158,2.568,5.719
113,0.000,173,173,173,2.678,5.253
114,0.000,212,212,212,2.842,4.185
115,0.000,212,212,212,3.144,4.404
116,0.000,235,235,235,3.473,4.788
117,0.000,188,188,188,3.363,5.226
118,0.000,181,181,181,3.390,5.801
119,0.000,181,181,181,3.473,6.322
120,0.000,147,147,147,3.527,7.007
121,0.000,61,61,61,3.664,7.116
122,0.000,93,93,93,3.801,7.199
123,0.000,231,231,231,4.130,5.199
124,0.000,196,196,196,4.404,5.171
125,0.000,200,200,200,4.185,4.925
126,0.000,173,173,173,4.678,5.555
127,0.000,192,192,192,4.623,5.829
128,0.000,192,192,192,4.623,6.349
129,0.000,188,188,188,4.651,6.733
130,0.000,68,68,68,4.404,7.199
131,0.000,89,89,89,4.842,8.185
132,0.000,185,185,185,4.651,7.966
133,0.000,200,200,200,4.596,8.404
134,0.000,185,185,185,5.418,9.308
135,0.000,192,192,192,5.993,8.541
136,0.000,196,196,196,5.473,7.966
137,0.000,155,155,155,5.473,7.692
138,0.000,173,173,173,5.363,7.336
139,0.000,166,166,166,5.226,7.199
140,0.000,208,208,208,5.226,7.610
141,0.000,204,204,204,3.390,8.925
142,0.000,188,188,188,3.829,9.281
143,0.000,185,185,185,1.719,9.308
144,0.000,200,200,200,1.418,9.527
145,0.000,188,188,188,1.171,9.527
146,0.000,86,86,86,0.897,10.158
147,0.000,114,114,114,1.473,10.678
148,0.000,200,200,200,1.911,10.295
149,0.000,235,235,235,2.349,10.541
150,0.000,215,215,215,2.760,10.760
151,0.000,215,215,215,3.034,10.897
152,0.000,235,235,235,3.473,11.062
