 ,Area,Mean,Min,Max,X,Y
1,0.000,158,158,158,0.164,0.055
2,0.000,162,162,162,0.377,0.377
3,0.000,155,155,155,0.705,0.678
4,0.000,192,192,192,0.760,0.788
5,0.000,162,162,162,0.897,1.089
6,0.000,223,223,223,1.527,0.185
7,0.000,208,208,208,1.829,0.459
8,0.000,239,239,239,2.021,0.842
9,0.000,196,196,196,2.158,2.021
10,0.000,185,185,185,1.664,2.240
11,0.000,155,155,155,3.473,1.007
12,0.000,181,181,181,3.308,1.226
13,0.000,200,200,200,3.308,1.500
14,0.000,162,162,162,3.308,1.774
15,0.000,140,140,140,3.418,2.021
16,0.000,185,185,185,3.582,2.404
17,0.000,188,188,188,3.500,2.514
18,0.000,227,227,227,3.390,2.678
19,0.000,208,208,208,3.336,2.815
20,0.000,173,173,173,3.363,3.336
21,0.000,151,151,151,3.747,3.610
22,0.000,125,125,125,2.432,3.473
23,0.000,181,181,181,1.144,3.692
24,0.000,192,192,192,0.651,3.801
25,0.000,181,181,181,0.596,3.993
26,0.000,188,188,188,2.158,4.815
27,0.000,177,177,177,1.774,4.514
28,0.000,212,212,212,2.678,4.514
29,0.000,181,181,181,3.171,4.842
30,0.000,155,155,155,3.390,4.952
31,0.000,188,188,188,3.719,3.966
32,0.000,227,227,227,3.801,4.130
33,0.000,212,212,212,3.801,4.240
34,0.000,192,192,192,3.938,4.404
35,0.000,243,243,243,4.158,4.486
36,0.000,192,192,192,4.432,4.486
37,0.000,208,208,208,4.678,4.514
38,0.000,212,212,212,4.979,4.514
39,0.000,111,111,111,5.226,4.870
40,0.000,162,162,162,5.664,5.253
41,0.000,170,170,170,5.473,5.938
42,0.000,158,158,158,5.308,6.185
43,0.000,196,196,196,5.171,6.322
44,0.000,212,212,212,4.568,6.459
45,0.000,181,181,181,4.377,6.568
46,0.000,215,215,215,4.185,6.733
47,0.000,170,170,170,3.747,6.568
48,0.000,192,192,192,3.555,6.267
49,0.000,170,170,170,3.418,6.158
50,0.000,204,204,204,3.856,5.473
51,0.000,100,100,100,3.144,6.925
52,0.000,125,125,125,2.651,7.336
53,0.000,96,96,96,1.993,7.473
54,0.000,166,166,166,2.295,6.404
55,0.000,114,114,114,0.788,8.623
56,0.000,132,132,132,0.705,9.007
57,0.000,79,79,79,1.253,8.870
58,0.000,125,125,125,0.295,8.842
59,0.000,173,173,173,0.130,8.705
60,0.000,132,132,132,0.240,11.555
61,0.000,44,44,44,1.966,13.363
62,0.000,41,41,41,2.295,13.527
63,0.000,114,114,114,2.486,13.034
64,0.000,143,143,143,2.130,12.925
65,0.000,181,181,181,1.692,12.952
66,0.000,204,204,204,2.760,12.514
67,0.000,204,204,204,2.870,12.130
68,0.000,208,208,208,2.432,11.856
69,0.000,208,208,208,2.021,11.692
70,0.000,177,177,177,1.582,11.116
71,0.000,196,196,196,1.582,10.678
72,0.000,196,196,196,1.336,9.856
73,0.000,192,192,192,3.171,11.308
74,0.000,200,200,200,3.582,10.623
75,0.000,155,155,155,4.048,9.527
76,0.000,185,185,185,0.322,7.007
77,0.000,196,196,196,0.568,6.048
78,0.000,204,204,204,1.363,7.363
79,0.000,173,173,173,2.651,9.034
80,0.000,151,151,151,3.500,9.664
81,0.000,181,181,181,3.637,9.966
82,0.000,196,196,196,3.993,9.993
83,0.000,212,212,212,4.952,9.363
84,0.000,177,177,177,3.226,7.774
85,0.000,177,177,177,3.473,7.801
86,0.000,173,173,173,3.637,7.829
87,0.000,170,170,170,3.555,7.527
88,0.000,200,200,200,4.048,8.514
89,0.000,192,192,192,4.240,8.897
90,0.000,185,185,185,4.377,9.363
91,0.000,212,212,212,4.377,9.829
92,0.000,158,158,158,5.664,10.623
93,0.000,196,196,196,5.911,10.979
94,0.000,192,192,192,5.610,11.253
95,0.000,107,107,107,4.897,12.432
96,0.000,200,200,200,4.623,13.171
