 ,Area,Mean,Min,Max,X,Y
1,0.000,103,103,103,0.712,1.781
2,0.000,166,166,166,0.788,1.445
3,0.000,156,156,156,0.925,1.199
4,0.000,93,93,93,1.062,0.925
5,0.000,98,98,98,1.062,0.541
6,0.000,78,78,78,1.527,1.527
7,0.000,133,133,133,1.856,1.253
8,0.000,146,146,146,2.075,1.555
9,0.000,168,168,168,0.486,2.623
10,0.000,88,88,88,0.815,3.993
11,0.000,178,178,178,1.445,3.582
12,0.000,103,103,103,0.596,4.897
13,0.000,96,96,96,0.870,5.390
14,0.000,113,113,113,1.171,8.541
15,0.000,128,128,128,0.596,10.158
16,0.000,133,133,133,1.801,11.610
17,0.000,148,148,148,0.295,13.336
18,0.000,168,168,168,1.007,12.760
19,0.000,131,131,131,2.651,13.719
20,0.000,76,76,76,2.952,12.267
21,0.000,88,88,88,3.116,12.103
22,0.000,113,113,113,4.075,11.938
23,0.000,108,108,108,4.870,12.733
24,0.000,131,131,131,2.651,10.267
25,0.000,81,81,81,3.007,10.404
26,0.000,63,63,63,4.705,9.938
27,0.000,163,163,163,5.445,9.719
28,0.000,153,153,153,4.459,8.404
29,0.000,81,81,81,1.856,7.747
30,0.000,121,121,121,1.473,7.199
31,0.000,128,128,128,1.199,6.952
32,0.000,86,86,86,3.829,3.911
33,0.000,76,76,76,5.253,0.651
34,0.000,113,113,113,7.555,0.103
35,0.000,108,108,108,8.404,0.240
36,0.000,133,133,133,9.801,1.719
37,0.000,121,121,121,10.568,1.774
38,0.000,163,163,163,11.062,1.747
39,0.000,123,123,123,11.884,1.555
40,0.000,53,53,53,11.637,2.212
41,0.000,21,21,21,13.199,2.130
42,0.000,98,98,98,14.322,1.445
43,0.000,108,108,108,14.760,1.527
44,0.000,76,76,76,16.486,0.952
45,0.000,123,123,123,17.281,0.788
46,0.000,181,181,181,17.747,0.295
47,0.000,98,98,98,20.240,0.322
48,0.000,46,46,46,15.116,4.514
49,0.000,31,31,31,16.897,3.089
50,0.000,21,21,21,17.226,3.199
51,0.000,121,121,121,19.801,2.897
52,0.000,71,71,71,20.432,3.473
53,0.000,136,136,136,19.911,3.911
54,0.000,73,73,73,20.377,4.651
55,0.000,163,163,163,20.185,5.801
56,0.000,128,128,128,19.692,5.610
57,0.000,151,151,151,19.856,7.527
58,0.000,133,133,133,19.089,6.952
59,0.000,171,171,171,20.048,11.116
60,0.000,76,76,76,18.048,13.089
61,0.000,61,61,61,18.185,11.966
62,0.000,41,41,41,18.404,11.281
63,0.000,78,78,78,18.322,10.158
64,0.000,121,121,121,17.966,9.637
65,0.000,161,161,161,18.075,9.144
66,0.000,131,131,131,18.185,8.651
67,0.000,71,71,71,18.486,8.952
68,0.000,133,133,133,18.842,8.623
69,0.000,116,116,116,18.788,7.637
70,0.000,201,201,201,19.253,8.158
71,0.000,118,118,118,17.884,7.801
72,0.000,121,121,121,17.747,7.418
73,0.000,98,98,98,16.979,6.596
74,0.000,73,73,73,16.240,6.075
75,0.000,116,116,116,15.966,5.774
76,0.000,136,136,136,15.856,7.116
77,0.000,96,96,96,15.527,7.445
78,0.000,93,93,93,15.692,7.801
79,0.000,153,153,153,15.966,8.377
80,0.000,38,38,38,15.747,8.733
81,0.000,96,96,96,15.582,8.925
82,0.000,51,51,51,17.062,10.130
83,0.000,61,61,61,15.856,10.295
84,0.000,0,0,0,15.034,10.623
85,0.000,58,58,58,14.842,10.486
86,0.000,88,88,88,16.596,12.678
87,0.000,66,66,66,16.185,12.925
88,0.000,56,56,56,15.034,13.993
89,0.000,61,61,61,14.705,13.911
90,0.000,103,103,103,14.021,13.473
91,0.000,66,66,66,14.021,13.199
92,0.000,31,31,31,14.733,12.952
93,0.000,63,63,63,15.582,12.103
94,0.000,16,16,16,14.158,12.103
95,0.000,128,128,128,12.979,13.829
96,0.000,113,113,113,13.171,8.596
97,0.000,103,103,103,12.212,8.952
98,0.000,88,88,88,11.171,8.568
99,0.000,0,0,0,10.596,9.500
100,0.000,81,81,81,9.966,10.130
101,0.000,16,16,16,9.582,10.349
102,0.000,33,33,33,8.459,9.911
103,0.000,206,206,206,7.473,9.089
104,0.000,116,116,116,7.829,8.322
105,0.000,78,78,78,9.582,8.185
106,0.000,0,0,0,9.144,7.062
107,0.000,113,113,113,5.637,4.404
108,0.000,158,158,158,6.788,4.212
109,0.000,93,93,93,7.500,4.267
110,0.000,78,78,78,8.815,4.267
111,0.000,63,63,63,7.637,2.623
112,0.000,146,146,146,8.678,3.116
113,0.000,116,116,116,8.925,3.582
114,0.000,68,68,68,10.486,3.637
115,0.000,33,33,33,12.240,4.267
116,0.000,98,98,98,7.500,6.404
117,0.000,101,101,101,7.993,6.295
118,0.000,103,103,103,4.048,3.089
119,0.000,93,93,93,3.966,2.158
120,0.000,141,141,141,3.418,1.281
